index,material,sample,scale,image_label,relative_path
0,aluminium_foil,sample_a,10,10,aluminium_foil/sample_a/15a-scale_10_im_10_col.png
1,aluminium_foil,sample_a,10,11,aluminium_foil/sample_a/15a-scale_10_im_11_col.png
2,aluminium_foil,sample_a,10,12,aluminium_foil/sample_a/15a-scale_10_im_12_col.png
3,aluminium_foil,sample_a,10,1,aluminium_foil/sample_a/15a-scale_10_im_1_col.png
4,aluminium_foil,sample_a,10,2,aluminium_foil/sample_a/15a-scale_10_im_2_col.png
5,aluminium_foil,sample_a,10,3,aluminium_foil/sample_a/15a-scale_10_im_3_col.png
6,aluminium_foil,sample_a,10,4,aluminium_foil/sample_a/15a-scale_10_im_4_col.png
7,aluminium_foil,sample_a,10,5,aluminium_foil/sample_a/15a-scale_10_im_5_col.png
8,aluminium_foil,sample_a,10,6,aluminium_foil/sample_a/15a-scale_10_im_6_col.png
9,aluminium_foil,sample_a,10,7,aluminium_foil/sample_a/15a-scale_10_im_7_col.png
10,aluminium_foil,sample_a,10,8,aluminium_foil/sample_a/15a-scale_10_im_8_col.png
11,aluminium_foil,sample_a,10,9,aluminium_foil/sample_a/15a-scale_10_im_9_col.png
12,aluminium_foil,sample_a,2,10,aluminium_foil/sample_a/15a-scale_2_im_10_col.png
13,aluminium_foil,sample_a,2,11,aluminium_foil/sample_a/15a-scale_2_im_11_col.png
14,aluminium_foil,sample_a,2,12,aluminium_foil/sample_a/15a-scale_2_im_12_col.png
15,aluminium_foil,sample_a,2,1,aluminium_foil/sample_a/15a-scale_2_im_1_col.png
16,aluminium_foil,sample_a,2,2,aluminium_foil/sample_a/15a-scale_2_im_2_col.png
17,aluminium_foil,sample_a,2,3,aluminium_foil/sample_a/15a-scale_2_im_3_col.png
18,aluminium_foil,sample_a,2,4,aluminium_foil/sample_a/15a-scale_2_im_4_col.png
19,aluminium_foil,sample_a,2,5,aluminium_foil/sample_a/15a-scale_2_im_5_col.png
20,aluminium_foil,sample_a,2,6,aluminium_foil/sample_a/15a-scale_2_im_6_col.png
21,aluminium_foil,sample_a,2,7,aluminium_foil/sample_a/15a-scale_2_im_7_col.png
22,aluminium_foil,sample_a,2,8,aluminium_foil/sample_a/15a-scale_2_im_8_col.png
23,aluminium_foil,sample_a,2,9,aluminium_foil/sample_a/15a-scale_2_im_9_col.png
24,aluminium_foil,sample_a,3,10,aluminium_foil/sample_a/15a-scale_3_im_10_col.png
25,aluminium_foil,sample_a,3,11,aluminium_foil/sample_a/15a-scale_3_im_11_col.png
26,aluminium_foil,sample_a,3,12,aluminium_foil/sample_a/15a-scale_3_im_12_col.png
27,aluminium_foil,sample_a,3,1,aluminium_foil/sample_a/15a-scale_3_im_1_col.png
28,aluminium_foil,sample_a,3,2,aluminium_foil/sample_a/15a-scale_3_im_2_col.png
29,aluminium_foil,sample_a,3,3,aluminium_foil/sample_a/15a-scale_3_im_3_col.png
30,aluminium_foil,sample_a,3,4,aluminium_foil/sample_a/15a-scale_3_im_4_col.png
31,aluminium_foil,sample_a,3,5,aluminium_foil/sample_a/15a-scale_3_im_5_col.png
